crit_number,index,radius,coords_1,coords_2,coords_3,coords_4,coords_5,coords_6,coords_7,coords_8,coords_9,contact_graph_1,contact_graph_2,contact_graph_3
1,0,0.3061862178,-0.179491454,-0.2568758016,-0.1342920672,0.320508546,0.2431241984,-0.1342920672,0.320508546,-0.2568758016,0.2192613234,0,4,4
2,2,0.305504059,0.4204620353,-0.29429916,-0.0732476989,-0.0794371514,-0.29429916,-0.4291694715,-0.0795379647,-0.2932101348,0.2779356356,4,0,0
3,0,0.2942470493,0.4818883591,0.2066652463,-0.185398297,-0.0181116409,0.2261309387,0.1819194167,-0.0181116409,0.4663980925,-0.3552928307,1,3,3
4,2,0.2886751346,-0.1647753707,0.1262090811,-0.3714867165,-0.1647753707,-0.2071242522,0.0999178043,0.3352246293,-0.0404575855,-0.1357844561,3,3,3
5,1,0.2886751346,0.2230219145,-0.1739730186,-0.3954967421,-0.2769780855,-0.0073063511,-0.1597944823,0.2234733657,0.3177330934,-0.0363545052,3,0,0
6,2,0.2881295639,-0.2060287517,0.1882754899,-0.0733362236,0.2939712483,0.3536824705,0.1605840295,0.2939712487,0.0209790445,-0.3099295331,2,3,3
7,1,0.2674234614,0.0176641629,-0.3145933951,-0.1392372255,0.2676641611,0.2803555786,0.1046785342,-0.2323358389,0.09045763,0.1046785325,2,2,2
8,2,0.2588190451,0.0842292764,0.3659806723,0.0774153606,-0.4157704022,-0.1340190063,-0.1120533304,0.4012167709,0.0489935705,0.3362344057,1,2,2
9,3,0.255723051,-0.234764593,-0.0542423959,0.1460666167,-0.1271257647,0.4457576041,0.1460666095,0.3190548259,-0.3042424045,0.1460666237,2,1,1
10,2,0.2548266264,0.1382531041,-0.3189210148,-0.3289945307,-0.22213,0.0414620988,-0.3289945361,-0.0419384499,0.36127054,0.0245588606,1,2,2
11,2,0.25,-0.0009768301,-0.3649423325,-0.008544799,0.4990231699,-0.3649423312,-0.0085447994,0.2842262324,0.1293612723,-0.1416940192,2,0,0
12,3,0.25,0.1246206412,0.1675908822,0.3557069233,0.3746206412,0.4175908822,0.0021535327,0.1246206412,-0.3324091178,0.3557069233,2,2,2
13,4,0.25,-0.2718418254,-0.0759068729,0.0214338029,0.2281581975,0.4240931026,0.0214338021,-0.0218418133,0.1740931147,0.3749871937,0,2,2
14,4,0.2357022604,-0.217971757,-0.1022425903,-0.2392316016,0.282028243,0.3977574097,-0.0035293412,-0.217971757,-0.1022425903,0.2321729192,1,1,1
15,4,0.1666666667,0.372708231,-0.4216196216,0.1440937665,0.0393748977,-0.0882862883,0.6154982872,0.2060415644,-0.254952955,0.3797960268,1,1,1
