crit_number,index,radius,coords_1,coords_2,coords_3,coords_4,coords_5,coords_6,coords_7,coords_8,coords_9,coords_10,coords_11,coords_12,coords_13,coords_14,coords_15,contact_graph_1,contact_graph_2,contact_graph_3,contact_graph_4,contact_graph_5,contact_graph_6,contact_graph_7,contact_graph_8,contact_graph_9,contact_graph_10
1,0,0.2692292318,-0.2846169406,0.0584939808,-0.1163317534,0.2153830594,-0.0569013975,-0.3882882895,0.0230807485,0.0584939808,0.5363936142,0.0230807485,0.4430986025,-0.3339068759,0.0999876811,-0.2492037084,0.1012433692,0,2,2,2,2,2,2,2,2,2
2,1,0.2665615876,0.0178371796,0.0768056305,-0.334865794,-0.0804017953,0.3290068633,0.1244423399,-0.3839238974,-0.1709929748,-0.0870670689,0.1160761026,-0.1753957643,0.1244422621,0.4195982047,0.3246043976,-0.0870671467,2,2,2,2,1,1,0,0,1,1
3,1,0.2621045026,-0.0321059207,-0.144752001,-0.3556262687,-0.3283315026,0.3686586823,-0.1595159981,-0.0320624752,0.4821897004,0.257783245,0.2935622556,-0.0497280627,0.0441170193,-0.2064377444,-0.0266513092,0.1998814077,0,2,1,1,2,1,1,1,1,2
4,0,0.2619449987,0.0670161633,-0.0369983292,0.1749408622,-0.4329838367,0.0263632615,0.3179305063,0.4257521416,0.3887601524,-0.0330343836,-0.1866609745,0.0841151492,-0.2671487122,-0.0760397119,0.4630077504,0.1109754387,2,1,2,2,2,1,1,1,1,1
5,1,0.2616624988,0.0383805143,-0.2533799419,0.1475088578,-0.2559716209,0.2532474019,-0.0338830617,0.3766300424,0.1471429725,0.32337101,-0.4616194857,-0.227095716,-0.0047350012,0.2440283791,0.3628227432,-0.1427972397,0,0,2,2,1,1,2,2,1,1
6,1,0.2615371372,-0.3563558964,-0.0057142638,-0.3467234968,-0.2646339538,0.1559945508,0.1811806454,-0.2296405013,-0.3440054492,0.0315739781,0.3526929055,0.3713321703,-0.1030686721,0.2416548339,-0.0057142639,0.2420591746,0,2,1,2,2,2,1,1,1,1
7,1,0.261234392,0.0328469812,0.1950387349,-0.1436738546,-0.0579862771,-0.0221397568,0.4035314493,0.04818798,0.4778602584,0.2953597185,-0.0326118778,-0.3049612651,-0.2803807237,0.3503987649,-0.1634799203,0.065130057,1,1,2,1,2,1,1,1,1,1
8,2,0.2610321046,-0.1495731425,0.2033862556,0.1027810332,-0.082955965,-0.2966137444,-0.0318042194,-0.0280478761,-0.1084713004,0.5034398818,0.4024865192,-0.1084713202,-0.0705278428,-0.2040796427,0.0127969929,-0.4344772242,2,2,0,0,0,1,2,2,1,1
9,2,0.2610113266,0.4652431754,-0.2256342102,0.1723333225,0.2457900717,0.2743666054,0.1549399028,-0.2542099283,0.3577144291,0.0301970041,-0.0347568246,-0.1422850582,0.2970753338,0.1055166093,-0.3346261101,-0.1899168865,0,1,2,1,2,1,1,1,1,1
10,2,0.260972462,0.3606023212,-0.2893432893,-0.0661952565,0.0935950825,0.2908529068,0.091599248,0.4625392986,0.0317540427,0.3546123647,0.2075115152,0.0742192279,-0.4079729693,-0.3681153328,0.169598484,-0.1194642752,1,1,2,0,2,1,1,1,1,1
11,3,0.2609595775,0.1556423189,-0.4039177289,0.2311679897,-0.3443576811,-0.3484844073,0.0921473032,-0.0341502806,-0.4701941395,-0.3095478551,-0.0341502792,0.0852157936,0.2585248179,0.3454663146,0.2177856085,-0.0742169269,2,0,0,2,2,0,0,2,1,1
12,2,0.260909442,0.1496832793,0.3697460984,-0.0180836573,-0.3503167207,0.3306715264,-0.1621951724,-0.1741438581,-0.1837630488,-0.2369334958,0.3103541757,-0.0218140416,-0.3438008652,0.4457779685,-0.2227556394,0.1184748717,2,1,1,1,1,1,1,1,1,1
13,2,0.2608171275,-0.2912813499,-0.1986952911,0.0851297869,0.3565227235,0.1649052931,0.2860920013,0.2087186501,-0.1929929623,-0.0634292339,-0.0266971063,-0.1276828563,0.5290382343,-0.125166289,0.3109976273,0.1492160627,0,2,1,1,2,1,1,1,1,1
14,2,0.2605349664,-0.1911318547,0.0999012993,-0.0956400449,0.1585491722,0.4651372187,0.1059441156,-0.0120390663,0.0951881249,0.4308332094,0.4389189991,-0.0706869916,0.2292491231,0.1585491722,-0.0426402276,-0.4546929205,0,0,2,2,2,0,2,1,1,1
15,3,0.2604889344,-0.3899563539,-0.2990246853,0.0546220589,0.3281787573,0.2401435123,-0.0719270353,-0.0362688584,0.079632095,0.2639776538,0.1100436461,-0.2740647223,-0.0895824492,-0.1887175064,0.1283887319,-0.2318559442,0,0,2,1,2,0,1,2,1,1
16,3,0.2603847215,0.2558877516,-0.2151431421,0.2699903568,0.2739210229,0.2848568579,0.1255063951,-0.2246848121,0.1091464465,0.425025576,-0.364572154,-0.0450396789,-0.052487719,-0.2073531688,0.4687876308,0.0487827746,2,0,1,1,1,1,1,1,1,1
17,3,0.2603738876,0.3987537724,-0.3342811383,0.1796444862,0.026344558,-0.0014427278,-0.0042021134,0.0288596094,-0.1609225343,0.5026139841,-0.1064886628,-0.3342811383,-0.3820292789,-0.1388462015,0.3926428386,0.293435173,0,2,2,0,0,2,1,1,1,1
