crit_number,index,radius,coords_1,coords_2,coords_3,coords_4,coords_5,coords_6,coords_7,coords_8,coords_9,coords_10,coords_11,coords_12,coords_13,coords_14,coords_15,coords_16,coords_17,coords_18,contact_graph_1,contact_graph_2,contact_graph_3,contact_graph_4,contact_graph_5,contact_graph_6,contact_graph_7,contact_graph_8,contact_graph_9,contact_graph_10,contact_graph_11,contact_graph_12,contact_graph_13,contact_graph_14,contact_graph_15
1,0,0.2635231383,0.1054647714,0.2906115508,0.2063571192,-0.0612018953,-0.2093884492,-0.0293451412,-0.227868562,0.2906115508,-0.2650474016,0.272131438,0.1239448841,-0.2650474016,0.4387981047,-0.3760551159,-0.0293451412,-0.3945352286,0.1239448841,0.2063571192,0,0,2,2,2,0,2,2,2,2,2,2,0,0,0
2,0,0.2573402709,0.3381735311,-0.3058532568,-0.0314954533,0.3381735311,0.1941467432,0.0905539631,-0.3255244989,-0.1421552267,0.3220579373,0.1744755011,-0.1421552267,0.4441073537,-0.1186754839,-0.0990042417,-0.1472474404,-0.1186754839,0.4009957583,0.2063059502,2,2,0,1,1,0,2,1,1,2,1,1,1,1,0
3,2,0.2552675437,0.027810004,0.4744724031,-0.2219230021,0.0278107826,-0.0255275969,-0.3251028233,0.1317608384,0.2077093634,0.2009695689,0.4238608427,-0.2587653831,-0.0408893538,-0.0761388255,-0.2587647889,0.200970207,-0.3682394892,0.2077087668,-0.0408885075,2,1,1,1,1,1,1,1,1,1,1,0,0,1,1
4,1,0.2548258093,-0.4078096249,-0.0438544945,0.0838839588,0.0921903751,0.4561455055,0.0838839496,0.2723878989,0.1363430228,-0.2696694364,-0.0880071421,0.1363430293,0.4374373448,-0.2276121076,0.2759479818,-0.2696694364,-0.0880071486,-0.2240520117,-0.2696694364,0,2,2,2,2,2,2,2,2,0,0,1,1,0,0
5,2,0.2544575807,-0.1149213441,-0.1188962219,-0.4389748265,-0.2978600457,-0.4359590556,-0.0854225215,0.2220227598,-0.1119668421,0.1440336739,0.3781595756,0.0441704656,-0.3148825516,0.1969841165,-0.496830982,-0.1887460787,-0.2369818728,0.0691982862,0.0179044809,2,0,0,1,1,1,1,1,1,1,1,1,1,1,1
6,5,0.2544304831,0.0473601649,-0.0714247872,0.3573735883,-0.073895632,-0.450169219,0.003820269,0.2781320386,-0.0981415146,-0.1023571034,-0.1006121645,-0.2193970827,-0.4559105653,0.0711742164,0.2567888389,-0.4028217696,-0.2456820129,0.0736448593,-0.0492685267,0,0,1,1,1,1,0,1,1,0,1,1,1,1,2
7,2,0.2538911695,-0.3961875058,-0.0779497513,-0.3045518047,0.1038124942,-0.2291945167,-0.3588038079,-0.0311266748,-0.0779497513,0.4025549765,-0.0311266748,0.2708054833,-0.3588038079,-0.1834479291,-0.403572134,0.0218755843,0.2561337485,0.096427866,0.0218755843,0,0,1,2,1,1,0,2,1,0,1,2,1,2,0
8,0,0.2530851633,-0.4161441014,0.1615177769,0.0226138437,0.0838558986,0.4056732359,-0.0169660673,-0.202395529,-0.2223874809,-0.283385996,-0.202395529,-0.2518635174,0.2220191531,0.297604471,-0.2104215062,0.2890337723,0.297604471,-0.1809454697,-0.2163713767,0,1,1,1,1,1,1,1,1,1,1,2,2,1,1
9,1,0.253026982,0.3592599982,0.077132201,-0.2675707467,-0.3329088953,0.4351614336,-0.0158239578,-0.1407400028,0.0356762269,-0.3337539923,-0.1390529095,0.0065992501,0.1714611081,0.3609470905,0.0479560967,0.2376443822,0.1464280968,-0.336437342,-0.0677763737,0,2,1,1,1,1,1,1,0,1,1,1,2,1,1
10,2,0.2529722908,-0.0880276506,0.4590529531,0.0941100458,0.3139932277,0.147858146,0.2968971791,-0.242364993,-0.0301195419,0.1304710763,0.1614592773,-0.0560980663,-0.1734453953,0.3859750689,-0.3729822607,0.1508337845,0.0331192162,-0.2132353478,0.5132986769,0,0,1,1,1,1,0,1,1,1,1,2,2,1,1
11,2,0.2526080865,-0.2759405349,0.3415841115,-0.0528160465,-0.2581337417,-0.0987387275,-0.300486762,0.2418662583,-0.111038117,-0.2291277653,-0.4508059081,-0.2313809029,0.1535078061,0.2240718076,0.4009815718,-0.0983660473,0.0037844709,0.0054944609,0.2010861701,1,0,1,2,1,2,0,1,1,1,1,1,1,0,1
12,3,0.2525862253,0.2152339753,0.4534390607,-0.2037663886,0.0098314038,0.14736405,-0.549203903,0.3720178353,-0.0325222192,-0.2462650814,-0.2438407831,0.278692693,-0.0843603392,0.105581311,-0.0220101664,0.1831578967,-0.1518991424,-0.1997159031,-0.2191203103,2,0,1,1,1,1,1,0,1,0,1,1,1,1,1
13,0,0.2523772685,-0.0491069879,-0.2806164222,0.2791790948,-0.0486427774,0.2789191899,-0.3867372941,0.1747060381,0.1252460545,0.0789176957,0.1548703895,-0.3067999993,-0.1817816327,-0.3451879062,-0.3471656429,-0.1243351877,-0.3247865484,0.1698549453,0.0215213069,2,1,1,1,1,1,1,1,1,1,1,2,2,1,1
14,3,0.252215751,-0.0555187575,0.0215752123,0.644056002,0.2905416058,-0.1323681895,0.2905000846,0.0877172435,0.1648080696,-0.0630528666,-0.352694527,0.2243990851,0.2905023584,-0.0723483137,-0.3655383656,0.0286738115,-0.4426278952,0.0047444458,-0.1547762798,0,1,2,1,1,2,1,1,1,0,1,1,1,1,0
15,2,0.2515904878,0.3028781813,-0.2446405866,-0.2469153957,0.3028781842,0.2553594,0.0086621172,-0.1971399038,0.289434164,-0.0418345156,-0.1971399072,-0.2105658298,-0.1964187643,-0.4948799844,-0.1610211816,0.2061818674,0.0051200156,-0.1610211687,0.2626716388,0,1,2,1,1,2,1,1,1,0,1,1,1,1,2
16,1,0.2510794706,0.1321072646,0.3164921995,-0.1228178209,-0.296693157,-0.0661838318,-0.0902029519,0.1305141298,-0.0547621465,0.5247403879,0.3476233842,-0.3376528922,0.1711869973,-0.0059633651,-0.304908435,-0.42292894,-0.1291681323,-0.4742375922,0.2515629719,0,0,1,1,2,1,0,2,1,2,1,1,1,1,1
17,2,0.2508872164,0.1955275006,0.0605214151,0.4765289051,0.0479689193,-0.0870378367,-0.0216967355,-0.2163582836,0.2938172916,0.2353575037,0.1999144761,0.4197061762,-0.1480083255,-0.0711662522,0.1486255313,-0.4717491232,-0.4452775553,0.0648979366,-0.1480084798,0,0,0,0,0,0,0,0,0,1,1,2,2,1,1
18,5,0.2500754284,0.3164084753,-0.1827398018,-0.1349477429,0.0577304686,-0.4240466049,0.2186163888,-0.0773668057,0.1047217397,-0.0107403397,-0.0138005873,-0.1768706485,-0.5636782791,-0.3911649435,-0.208337356,0.2707534636,0.1855979849,0.0218367229,0.4072957932,2,0,0,1,1,0,0,1,1,0,1,1,1,1,1
19,2,0.25000276,0.0906601553,-0.121245659,-0.4620402151,-0.2041038558,-0.121245659,0.0797029372,-0.3096880801,0.2571713498,-0.2295834337,0.1962443796,0.2571713498,-0.1527538442,0.1220114506,0.2333425993,0.3411360049,0.2645448489,-0.2666574007,-0.0163665015,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
20,4,0.2500000828,-0.2955519267,-0.4997970962,-0.0046118569,-0.4188396641,-0.0609353113,0.2278257559,-0.1685766611,-0.0528563639,-0.2256939969,0.3314233389,-0.0526864422,-0.2253242539,0.0811603359,-0.0584229275,0.2081560137,0.2115144416,0.3777984319,0.0002479714,0,0,0,0,0,0,0,2,1,2,1,1,1,1,1
