crit_number,index,radius,coords_1,coords_2,coords_3,coords_4,coords_5,coords_6,coords_7,coords_8,coords_9,coords_10,coords_11,coords_12,coords_13,coords_14,coords_15,coords_16,coords_17,coords_18,coords_19,coords_20,coords_21,contact_graph_1,contact_graph_2,contact_graph_3,contact_graph_4,contact_graph_5,contact_graph_6,contact_graph_7,contact_graph_8,contact_graph_9,contact_graph_10,contact_graph_11,contact_graph_12,contact_graph_13,contact_graph_14,contact_graph_15,contact_graph_16,contact_graph_17,contact_graph_18,contact_graph_19,contact_graph_20,contact_graph_21
1,0,0.25,0.3130306608,0.0569621194,-0.1039410034,-0.1869693392,-0.4430378806,-0.1039410034,0.0630306608,0.3069621194,0.2496123872,0.3130306608,-0.4430378806,-0.1039410034,-0.1869693392,0.0569621194,-0.1039410034,-0.4369693392,-0.1930378806,0.2496123872,0.0630306608,-0.1930378806,-0.457494394,0,2,2,2,2,2,2,2,2,2,2,2,2,0,2,0,2,2,2,2,2
2,0,0.2410385349,-0.2531145057,-0.1110105956,0.1601242766,0.2745180649,-0.088229033,0.2536566951,-0.2254819351,0.411770967,0.2225526781,-0.2531145057,-0.1110105956,-0.3910216846,0.2388889455,-0.396271369,-0.115448704,-0.4967187951,0.20062189,-0.115448704,0.0219844072,0.173204854,-0.115448704,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3,1,0.2409656991,0.2842350238,0.2724635482,-0.0786966298,-0.2157649762,-0.2275364518,-0.2274897342,-0.2427800177,-0.0075662114,0.2004602086,-0.1882621842,0.2946502576,-0.1709571905,0.3117378158,-0.2053497424,-0.1352291735,0.0403124965,-0.4195898121,0.2004602086,0.0591564696,0.0530834527,-0.5066465726,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1
4,0,0.2409034768,-0.021802785,-0.1492754087,0.4500846281,0.4581110021,0.1204362581,0.1657091661,0.3044683056,-0.0733788641,-0.4056574978,-0.3480738757,-0.2251719533,-0.1083868083,0.0741799724,-0.4554602865,-0.0799806137,-0.1177855425,0.1569094691,-0.4340636924,-0.0017165722,0.0810129245,0.027353309,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5,1,0.2408028848,0.0158220431,-0.1526941143,-0.2071685628,-0.3183899186,-0.3539883689,0.1393643418,-0.0186224682,-0.1410636213,0.5156557016,0.3008285755,0.0455837543,0.1265997412,0.099371709,0.4541472472,0.2829171131,-0.2245856458,0.1176679976,0.165539669,-3.24009e-05,0.3667207484,-0.1801374709,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
6,2,0.2407105421,0.4335855778,-0.0649599977,0.0914167131,-0.0893213511,0.4121327518,0.0914164857,0.1285246214,0.1074697033,0.4608861237,0.2382486556,0.2171940005,-0.2462204715,0.1551001233,-0.3093814582,-0.2730865412,-0.08561062,-0.0686710644,0.0673295346,-0.1737166698,0.0194351602,-0.3976875376,0,0,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1
7,2,0.2402857125,-0.1339953485,0.3874443272,-0.0892793642,0.0686921343,-0.2777011407,0.2599382312,0.3419955124,0.4535774637,-0.0921083532,-0.2957928531,-0.1798103646,-0.221574339,0.2688350847,-0.0213891298,-0.0938920206,-0.389807242,0.1877054902,0.2651406785,0.0891521928,0.2087732674,-0.4755832885,0,1,1,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1
8,3,0.2402746738,0.005535601,0.3965823765,0.1391094621,0.3227916708,0.2112856027,-0.1857410534,-0.4574069008,-0.0663601252,0.1391094621,-0.2721101269,-0.3836161951,-0.1857410534,-0.0668187426,0.0059942183,-0.3780607062,0.0228182884,-0.0836428126,0.1355384699,0.2534280343,-0.3142525585,-0.2174005699,0,0,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,0,1,1
9,0,0.2398436135,-0.0724426401,0.1535527474,-0.5285316385,-0.1953201132,-0.0479624329,-0.0508051023,0.1596611146,-0.21541509,-0.3274428048,0.3619528128,0.1103820853,0.0459724187,0.0018869302,0.3846068704,-0.114781783,-0.040149278,-0.3534727441,0.2848812057,0.0904768346,0.0811099623,0.4403627985,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
10,2,0.2397696485,-0.2122322018,0.4688948754,-0.1002869639,0.287767052,0.4688947958,-0.0419540196,-0.2122324692,-0.0311053068,-0.1586199083,0.4879015831,-0.1631501171,0.1915265167,0.1557226446,-0.2312394341,-0.3921007486,-0.0801878585,-0.3309711801,0.3150064661,0.087633329,0.1009393799,0.1915266912,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
11,1,0.2397340722,-0.1062917608,0.3231248562,0.1342667021,0.3247336054,-0.1077895307,0.1556674722,0.2269984635,0.1330778322,-0.247222658,-0.1540000719,-0.0758910694,-0.4498598108,-0.2097854604,-0.136314006,0.0442962204,0.0617891855,-0.002487424,0.542528429,0.0937957234,-0.4079531574,-0.2085680473,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1
12,2,0.2396606106,-0.4890443469,-0.3318614317,-0.0838428321,0.1336251835,0.2908080986,-0.2792479875,-0.1117128537,0.0454700615,0.1115624096,0.088644261,-0.1858939582,-0.2573231421,-0.0667324892,-0.4778278441,0.0896372375,0.3649892407,0.090450426,0.0896372375,-0.3430768734,0.2458271761,-0.2573231421,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1
