crit_number,index,radius,coords_1,coords_2,coords_3,coords_4,coords_5,coords_6,coords_7,coords_8,coords_9,coords_10,coords_11,coords_12,coords_13,coords_14,coords_15,coords_16,coords_17,coords_18,coords_19,coords_20,coords_21,coords_22,coords_23,coords_24,contact_graph_1,contact_graph_2,contact_graph_3,contact_graph_4,contact_graph_5,contact_graph_6,contact_graph_7,contact_graph_8,contact_graph_9,contact_graph_10,contact_graph_11,contact_graph_12,contact_graph_13,contact_graph_14,contact_graph_15,contact_graph_16,contact_graph_17,contact_graph_18,contact_graph_19,contact_graph_20,contact_graph_21,contact_graph_22,contact_graph_23,contact_graph_24,contact_graph_25,contact_graph_26,contact_graph_27,contact_graph_28
1,0,0.25,-0.2507554519,-0.1448929103,-0.3538274806,-0.2507554519,-0.1448929103,0.3532793006,-0.0007554519,0.1051070897,-0.00027409,0.4992445481,-0.3948929103,-0.00027409,-0.0007554519,-0.3948929103,-0.00027409,0.2492445481,-0.1448929103,0.3532793006,0.2492445481,-0.1448929103,-0.3538274806,0.4992445481,0.1051070897,-0.00027409,0,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,2,0,0,2,2
2,0,0.2493483991,-0.2192140743,0.2863305784,0.1796727134,-0.4679413746,0.0360173054,-0.1759322264,0.0291939837,-0.4628575659,-0.1725847868,0.0304984925,0.0360047137,0.5344255602,-0.2187464998,-0.2126644768,0.1809825514,0.031152079,0.0358289929,-0.1751103809,0.2794792328,0.2855517648,0.1779769434,0.2825578249,-0.2131312938,0.1800326864,0,1,2,2,1,1,0,0,2,1,2,1,1,1,2,1,2,1,1,0,1,1,1,0,1,1,1,1
3,0,0.2493450787,0.4321057223,-0.203811597,-0.1936420678,0.1821886272,0.0448955575,0.159508711,-0.3164987418,0.0463439073,0.1603353567,-0.0653381873,-0.2049702525,0.5134495142,-0.3164870511,-0.4528097473,0.157763966,-0.0687653063,-0.2037371642,-0.196197414,0.1821925829,-0.4559510559,0.1569715977,-0.0666544174,0.2949485253,-0.1961799629,2,2,2,1,2,2,0,1,2,0,1,2,2,1,2,2,0,1,2,0,1,1,1,1,1,1,1,1
4,0,0.2492934377,-0.1491369152,0.2963017311,0.3845344588,0.1044593448,-0.4532818586,0.0323403637,-0.3969548266,-0.4528031406,0.0314377926,0.1023850526,0.0477181126,0.0327521544,-0.1445682885,-0.2036842176,0.3854556956,-0.3961963717,0.0462074615,0.0309763256,-0.1477229894,-0.2037584662,-0.3216805694,-0.1435558565,0.2976720729,-0.3216839601,2,2,0,2,1,1,0,1,0,0,0,1,1,0,1,2,1,1,1,1,1,1,1,0,1,1,1,1
5,0,0.2492266222,0.2488411555,-0.032813961,-0.121840521,-0.0015038988,0.2168248877,-0.4759871419,-0.0030520288,-0.2842683261,0.2315379573,-0.2505051077,-0.0322028512,-0.1216009212,-1.04075e-05,-0.2816241004,-0.4774057926,0.2459280001,0.4678647131,-0.123549774,-0.0003574964,0.217288029,0.2300183475,-0.2525223827,0.4693492978,-0.1227442806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
6,0,0.2491917648,-0.4692423251,-0.2436569673,-0.1159673422,-0.4703687598,0.25666431,-0.113318751,0.0280044202,0.2562885898,-0.1101289459,0.2772283662,0.00683218,-0.4669138425,-0.2214371379,0.0089278204,-0.4669369376,-0.2203866744,0.005208275,0.2415053561,0.2812380934,0.0073037664,0.2395357609,0.0300829228,-0.2442399036,-0.114397061,0,0,0,1,0,0,0,1,0,0,1,1,0,1,2,1,0,0,1,0,0,1,0,1,1,1,1,1
7,1,0.2490471371,-0.0296566858,0.3029054985,0.4041929972,-0.2777423318,0.0548195235,0.0506328646,0.2241646591,0.0540356626,0.0498292054,-0.0277395913,-0.1946651288,-0.3005849368,-0.0266161629,-0.1951758827,0.4060900683,-0.0257252394,0.3072482796,-0.3024811726,0.2240148487,-0.4440330324,0.0548748619,-0.2779079515,-0.4470884044,0.0521047034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
8,0,0.2320196538,0.2907444894,0.3860181569,-0.1928850357,-0.4592555106,0.1360181569,0.1606683549,0.2491598342,-0.0723971879,-0.2516946191,0.4991598342,-0.3223971879,0.1018587715,-0.3342555106,0.1291010227,-0.2861645359,-0.1258401658,0.4206856779,0.0085792714,0.1241598342,0.1706856779,0.362132662,-0.0842555106,-0.1208989773,0.0673888547,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1
9,0,0.2312673455,-0.0334024485,0.051071426,-0.2296252212,0.3169087599,-0.4106359504,0.0415167896,0.064333197,-0.234645637,0.3987125791,0.1026258191,0.2984958654,0.3445586329,-0.3048244677,0.3380567383,0.1292506176,-0.0588425802,-0.4818957746,-0.2186203054,-0.2718572663,-0.2029466845,0.0826279557,0.3442555912,0.0510714267,0.0374193473,1,1,1,0,0,0,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
10,1,0.231259912,0.1221258596,0.2051746714,-0.3454829014,0.1438402087,-0.2598343382,-0.3383144409,0.3916790288,-0.0785183735,0.0121648482,0.023346395,0.4896030458,0.2811531166,-0.2300582769,-0.3299219601,-0.0752322573,-0.0171119674,-0.0396533927,0.2250126875,0.3582887022,0.4627616448,-0.0366798233,-0.2580555336,0.2084571515,-0.082089809,0,0,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1
